sid,R_Squared,F_Value,F_P_value,Last Resid
600596,0.9025941332423559,719.6843477225322,1.7183968129244902e-117,-0.1565234988708024
600031,0.9022126303874585,735.0261406184286,2.565299214048058e-120,1.9616216059786424
601965,0.9019722568220713,733.0284345769153,3.4395085506987016e-120,1.3806416897021716
000987,0.9015249714518637,729.337076122037,5.924537435863898e-120,-3.564171145461083
600459,0.9007083446372042,722.6834036950112,1.5887751913632003e-119,0.9358899763224606
002926,0.9006397487968449,722.1294812091846,1.7253915003566065e-119,0.4756556602220403
600809,0.9006179762236962,721.9538240368247,1.7711426169122624e-119,34.555156311845366
000733,0.8993416667874015,711.7895806606576,8.13214809793121e-119,11.871998154886832
600739,0.898382722016221,704.3207442083201,2.523803596475831e-118,0.5802091487429486
002013,0.897269739053276,695.8269992939588,9.270934515928232e-118,-0.13072233369785735
000858,0.8962091809144808,687.9028290613197,3.161582782580673e-117,23.262094667649762
002204,0.8961818071260176,687.7004436756259,3.262750084181214e-117,0.05809130753703862
000828,0.8961137805613865,687.1979578925299,3.528275412833267e-117,0.21711884628064837
601600,0.8954835057401959,682.5734680687519,7.266490396519098e-117,0.10395130802266328
600822,0.8952430473207987,680.8238270825268,9.561601125781043e-117,-0.39420542587915364
002617,0.8938495497340789,670.8404340294773,4.6345128853027435e-116,0.5341354328051438
002577,0.8935141251399082,668.4763783272166,6.755504381826207e-116,0.2349596142981092
601865,0.8934692268443062,668.1610671115774,7.104352657524005e-116,-4.5586717351664205
000550,0.8929487838458067,664.5254081988555,1.2715225809064635e-115,-1.47355172787573
601012,0.8924755357356624,661.2499908747702,2.153446172304311e-115,-7.0819688302212995
002261,0.8916028470903589,655.2849859203349,5.655081023556731e-115,0.24536624319090894
601606,0.8914219383169589,654.0604365047643,6.9014151196125425e-115,-0.4522233926237238
600604,0.8914139597126196,654.0065242501712,6.962251417051728e-115,-0.4133619671603075
000729,0.8909306397870991,650.7553923896909,1.1833710881147353e-114,0.456833133683487
000630,0.8903739135251441,647.0460093800073,2.173793593658953e-114,0.039160813348527945
600760,0.8903153840351063,646.6582237096214,2.3168892276026025e-114,12.108215964060271
000652,0.8897753993184008,643.0999949862625,4.165298836597224e-114,-0.7868519620014389
000807,0.8891950052398839,639.3141594155745,7.79941087890729e-114,0.5377553490252689
601016,0.8889817181493211,637.932861434655,9.813237747362215e-114,-0.03576450824562638
002104,0.8888955725393339,637.3764655241796,1.0765810068585523e-113,-0.3373543153166718
600986,0.8886069353646459,635.518492548191,1.4676680980439107e-113,-0.3075763451734197
600918,0.8882824798940819,132.51912488030996,8.633926011118772e-24,0.4070588756697866
600888,0.8876092492391203,629.1698356907548,4.257359929481689e-113,-0.004846502036455647
600118,0.8874510665286954,628.1735963152873,5.036096226634169e-113,-1.1377804883293479
600057,0.8867772543040249,623.9610909624143,1.0273307872454387e-112,-0.4247336590520865
601615,0.8865534431814619,622.5729508309041,1.300599553273972e-112,0.5978187105791477
002572,0.8857640344000807,617.7202398849679,2.9773557299820422e-112,-1.6918530830216412
600503,0.8847965887224122,611.8637818085635,8.15196415447728e-112,-0.056023702681859966
601899,0.8847941133150221,611.8489230228545,8.172911538054065e-112,0.6504280907909301
002240,0.8840366224164045,607.331835159797,1.7877702844173402e-111,1.5763942204080017
600460,0.8838992677625342,583.679441313575,3.263498301933115e-107,1.0244400410933885
000090,0.8836421208288693,605.0026246109676,2.682076131809391e-111,-1.0689228026179745
600511,0.8833985502822905,603.5724084866748,3.442992760148054e-111,2.1502477191682914
000012,0.8827072495547966,599.5455298610734,6.975101503618304e-111,0.1767308494789388
603338,0.8816656049077625,593.5667292920424,2.005190308017966e-110,-4.9557744274756175
000568,0.8803559051201437,586.1970915628223,7.465837036621611e-110,4.682539418932379
002128,0.8801766018830905,585.2006957906839,8.927977600024904e-110,-0.16992593190577665
600436,0.8786745390638269,576.969344043218,3.9529263455033955e-109,47.03825573149004
600626,0.8785726056358636,576.4181244453155,4.369970584103581e-109,-0.3413170200100959
601901,0.8785350448941871,576.2152426236786,4.534405275832808e-109,1.0355800603638254
600859,0.8774722543334689,570.5262037994706,1.2834594310496995e-108,-18.041497151994065
600516,0.8770494739866544,568.2904364856964,1.9366193119650087e-108,1.012361482381852
600309,0.8762219970020615,563.9587331387698,4.314737179606311e-108,-12.361522664900988
600073,0.8758685626415221,562.126164883315,6.065211211573996e-108,0.8229567461825376
000758,0.8751972840317461,558.6741422539624,1.154995178936209e-107,0.2855717109449154
000869,0.874820795223057,556.7542692917048,1.6550524102226027e-107,3.6065912050897353
600362,0.8741054614707935,553.1381205575594,3.268606842324186e-107,1.1073552689022712
601100,0.874025700173929,552.7374568463046,3.525437987883047e-107,17.914596133021888
000826,0.8736944450140054,551.078882691796,4.8241531964262356e-107,-0.14880082063695177
002222,0.8736456532983568,550.8353203744376,5.0518846900796345e-107,-0.2648894878340933
603833,0.8732674507158763,548.9537399824627,7.218873452702263e-107,16.332740100986925
000700,0.8723064687262501,544.2229373875663,1.7794237969331933e-106,-0.6484015974210582
600999,0.8716734552570907,529.8243605503912,5.387833647208621e-104,0.5512798820575711
600660,0.8714908093482754,540.2630540221276,3.8065407168125274e-106,10.555947762875782
603599,0.8713441473610013,539.5563615325009,4.362040274916765e-106,1.7506723478714505
000157,0.8692724583188303,529.7432988397989,2.9391013658410233e-105,0.9454707740346002
600549,0.867174096108565,520.115938477749,1.968426442191121e-104,-0.6981404924347387
603113,0.8656971103728709,513.5198752450425,7.373276304802163e-104,2.0057699696607045
000016,0.8640946825008846,506.5257512067933,3.0396081720023827e-103,-0.5634796116468133
002736,0.863837302219433,505.41770640482963,3.8101883331731254e-103,-0.45768942723551653
600572,0.8628591906257109,501.2447850751548,8.957272852942287e-103,-0.21659593651957376
000581,0.8622867107904909,498.8299121599882,1.4730777354048193e-102,-2.0805418755996286
601198,0.8607156897548159,492.3049109390835,5.708630021209676e-102,0.20631504319536198
601890,0.8594995986167252,487.3542520091587,1.612071129749568e-101,-0.08027300347064958
002099,0.8590248126221708,485.4445997092461,2.4118299389793756e-101,-0.2768156498823853
002268,0.8589138288445992,485.00006157643674,2.649476445376385e-101,-1.4953032368665227
600873,0.8585581351139062,483.5800547395024,3.578881910529812e-101,-0.3811206528933546
000552,0.8584401800857325,483.11072818248596,3.9534852976428044e-101,-0.22138065570503462
002027,0.8575184358312196,479.46999870777654,8.58184137564887e-101,1.604985374652367
601388,0.8574885441341323,479.35272010915327,8.79953543123136e-101,0.3251200847011564
000158,0.8573352648325194,478.75210846470975,1.0004855125595372e-100,-0.8977918827592548
600705,0.8565747058959776,475.790912586311,1.887813714239822e-100,-0.146405337202971
002367,0.8538665385082512,465.49708880329405,1.7623286893298332e-99,0.26072488074640887
600763,0.8537740211075675,465.1521628606876,1.9006846474600977e-99,44.14015024022325
600446,0.8537614530030653,465.10533977522266,1.9202923530378135e-99,-1.2676635132624057
000426,0.8536095809750505,464.5401687075046,2.1736948170980384e-99,0.46328338384635703
600501,0.8534173600500189,698.6508309643491,8.509512632545691e-101,0.034663383443504614
000959,0.853056997835817,445.07758476087065,1.8713355811068136e-95,-0.40911747105124485
002413,0.852485965813716,460.3949424278405,5.4167318239401305e-99,-0.8105578962591569
601163,0.8520845754472841,458.9294054304262,7.49308923152607e-99,-0.5784712621765244
600158,0.8520262263268006,456.7977077560241,2.0375998206433238e-98,-1.1167142200042939
000777,0.8519203543023041,458.33209941159555,8.554739215269293e-99,0.12003578246084778
600577,0.8518511653865173,458.0808416044268,9.045500898481817e-99,-0.2216160921369572
002287,0.8515451136669213,456.9722317521006,1.1573323502179571e-98,0.7737328607918101
600616,0.8513079728523594,456.11637560474816,1.4003412132317089e-98,2.4587680084244035
600543,0.851234675436509,455.85239263310984,1.4852246675115676e-98,1.1021515540021145
000829,0.8510396620122804,455.15131067462056,1.7367232172710158e-98,-0.33547700248846013
002467,0.8507318945071548,454.04859958949476,2.222128945621861e-98,-0.10941251877608149
600326,0.8506668123908372,453.81599677966346,2.3408625306338815e-98,-0.6372039537125485
000566,0.8503928267745515,452.8389943193483,2.9136568541644513e-98,0.17045675258332693
002431,0.850060023234926,451.65705623538815,3.79904437385242e-98,-0.30456940065934424
002124,0.8494952765749715,449.66334274231593,5.95165857605343e-98,-0.6542749786129818
002288,0.8490711996865118,438.79997348411507,9.312640717568617e-96,0.5439024574603479
002839,0.8476226166657571,443.1580788660495,2.6056978618239797e-97,-0.07873868173369569
600251,0.8470483594774949,441.19513249098685,4.0831644927199464e-97,-0.360159140300663
600711,0.8465983573713699,439.6671898783486,5.798947111340186e-97,0.2923264942839854
600428,0.8464066116528647,439.0188543963403,6.731789508143105e-97,0.06327384592571406
002185,0.846232467914676,438.4314362700472,7.707170544660672e-97,-0.47390215287135184
600298,0.8457258261504601,436.72998404146637,1.141516347838197e-96,4.374504498556696
600410,0.8452117420182295,435.01492291520617,1.6982553358806292e-96,-1.310799766211698
603000,0.8445372206038769,432.7818240661151,2.854282412031098e-96,-0.8869827399848305
600581,0.8445286674003667,432.7536318833088,2.87309511652916e-96,0.24345662601051155
002276,0.844078863954812,431.27539473274624,4.056658397154074e-96,-0.05545463352561608
603118,0.8411312012017853,421.7953401547883,3.796505442504528e-95,-1.2083245741924333
601127,0.8410018873624963,421.3874989780345,4.183860168799583e-95,0.6638312384378011
000639,0.8409709118353064,421.2899041473613,4.2823179017257376e-95,0.2931855318412824
600333,0.8406464966053602,420.2700461734128,5.462092783029596e-95,-0.06344198639658316
001896,0.8406356610637653,606.6168985334552,1.8835698939563014e-92,0.4132691138714115
002733,0.8401151509563581,418.6086054632212,8.128000498208392e-95,-1.6098942527394335
000963,0.8396941613057706,417.3000521727169,1.112624104451131e-94,0.10949713107212133
603806,0.8396521417959624,417.169820948237,1.1479937470809902e-94,-1.3566406060978835
600775,0.8395306871015751,416.79377943180106,1.2566188449883606e-94,-0.0053830163570305345
601628,0.8385749786766166,413.85451123716086,2.553479463988487e-94,-1.6945242556201094
600329,0.8384362257713793,413.43066933598453,2.8293503577176474e-94,1.232488752778977
