day,open,high,low,close,volume
2019-05-29,4.03,4.03,3.97,4.0,13702469
2019-05-30,3.98,4.0,3.85,3.92,18572944
2019-05-31,3.9,3.95,3.85,3.86,16617550
2019-06-03,3.88,3.89,3.47,3.47,73143587
2019-06-04,3.4,3.44,3.33,3.41,19488964
2019-06-05,3.43,3.47,3.38,3.41,12511399
2019-06-06,3.4,3.41,3.24,3.28,16916997
2019-06-10,3.3,3.41,3.3,3.38,12543176
2019-06-11,3.38,3.5,3.36,3.5,20907759
2019-06-12,3.5,3.5,3.38,3.41,20651298
2019-06-13,3.43,3.45,3.37,3.44,12920612
2019-06-14,3.44,3.46,3.33,3.36,14173145
2019-06-17,3.38,3.49,3.37,3.43,20209737
2019-06-18,3.43,3.45,3.36,3.39,10028575
2019-06-19,3.45,3.51,3.43,3.45,22962571
2019-06-20,3.44,3.51,3.41,3.49,23897231
2019-06-21,3.49,3.56,3.49,3.53,24680800
2019-06-24,3.53,3.54,3.49,3.5,13230535
2019-06-25,3.5,3.52,3.39,3.46,17209138
2019-06-26,3.46,3.58,3.43,3.56,27003024
2019-06-27,3.53,3.58,3.52,3.55,17279941
2019-06-28,3.52,3.55,3.46,3.48,13633002
2019-07-01,3.53,3.6,3.53,3.59,19423333
2019-07-02,3.6,3.61,3.56,3.57,14362393
2019-07-03,3.56,3.57,3.49,3.52,13794757
2019-07-04,3.54,3.57,3.52,3.54,12514062
2019-07-05,3.53,3.6,3.51,3.57,14119868
2019-07-08,3.55,3.55,3.34,3.4,24079939
2019-07-09,3.4,3.46,3.4,3.46,11373037
2019-07-10,3.44,3.47,3.38,3.39,10162919
2019-07-11,3.4,3.49,3.39,3.45,14953871
2019-07-12,3.47,3.48,3.4,3.46,9951999
2019-07-15,3.48,3.52,3.4,3.5,13449256
2019-07-16,3.5,3.66,3.5,3.55,24232335
2019-07-17,3.5,3.54,3.48,3.5,14647913
2019-07-18,3.51,3.51,3.42,3.42,11599452
2019-07-19,3.44,3.48,3.41,3.43,10653750
2019-07-22,3.42,3.44,3.33,3.35,12875160
2019-07-23,3.35,3.39,3.33,3.37,7237715
2019-07-24,3.36,3.41,3.36,3.37,11878540
2019-07-25,3.37,3.38,3.35,3.38,7668100
2019-07-26,3.36,3.37,3.34,3.36,8130480
2019-07-29,3.34,3.37,3.34,3.36,6932950
2019-07-30,3.36,3.4,3.35,3.37,9756716
2019-07-31,3.38,3.4,3.37,3.4,8550909
2019-08-01,3.37,3.37,3.33,3.36,10542038
2019-08-02,3.31,3.31,3.26,3.28,11311245
2019-08-05,3.28,3.3,3.23,3.26,9022102
2019-08-06,3.2,3.29,3.04,3.14,19164989
2019-08-07,3.16,3.18,3.11,3.14,6953902
