,day,open,high,low,close,volume
126,2021-07-28,8.600,8.640,7.850,8.110,39789810
127,2021-07-29,8.130,8.370,8.100,8.160,26409445
128,2021-07-30,8.160,8.440,8.090,8.310,36763461
129,2021-08-02,8.320,8.600,8.180,8.550,37017381
130,2021-08-03,8.500,8.590,8.420,8.470,27138707
131,2021-08-04,8.500,8.580,8.450,8.520,24771269
132,2021-08-05,8.550,8.570,8.330,8.410,23826994
133,2021-08-06,8.410,8.470,8.280,8.330,22273327
134,2021-08-09,8.350,8.560,8.310,8.540,30828013
135,2021-08-10,8.600,8.640,8.460,8.520,22610641
136,2021-08-11,8.520,8.760,8.480,8.620,38350759
137,2021-08-12,8.570,8.570,8.430,8.440,29027914
138,2021-08-13,8.440,8.620,8.300,8.410,27746339
139,2021-08-16,8.420,8.610,8.340,8.520,38982486
140,2021-08-17,8.510,8.600,8.170,8.200,41837216
141,2021-08-18,8.100,8.350,8.100,8.290,25417800
142,2021-08-19,8.190,8.240,8.100,8.160,21293595
143,2021-08-20,8.150,8.150,7.890,7.940,27567660
144,2021-08-23,7.950,8.720,7.950,8.610,86679496
145,2021-08-24,8.600,8.660,8.460,8.470,43836307
146,2021-08-25,8.410,8.450,8.260,8.300,30446866
147,2021-08-26,8.360,8.390,8.000,8.040,34272111
148,2021-08-27,8.040,8.130,7.950,8.000,30323867
149,2021-08-30,8.030,8.070,7.860,7.910,28932107
150,2021-08-31,7.900,7.940,7.720,7.910,25712866
151,2021-09-01,7.870,7.990,7.750,7.890,26196089
152,2021-09-02,7.900,8.260,7.880,8.200,55097497
153,2021-09-03,8.110,8.770,8.100,8.490,80607879
154,2021-09-06,8.620,8.720,8.280,8.460,51795356
155,2021-09-07,8.440,8.620,8.390,8.490,39995605
156,2021-09-08,8.600,8.860,8.520,8.680,65599732
157,2021-09-09,8.760,9.550,8.750,9.550,117074910
158,2021-09-10,9.580,9.580,8.920,9.020,147852346
159,2021-09-13,8.870,8.980,8.700,8.790,62800901
160,2021-09-14,8.760,8.870,8.500,8.500,51181604
161,2021-09-15,8.410,8.760,8.410,8.720,48046842
162,2021-09-16,8.610,8.670,8.400,8.410,40116012
163,2021-09-17,8.460,8.800,8.360,8.740,59167178
164,2021-09-22,8.700,9.460,8.590,9.320,114220040
165,2021-09-23,9.400,9.550,8.980,9.020,95195147
166,2021-09-24,9.050,9.230,8.780,8.900,63083307
167,2021-09-27,9.120,9.670,8.660,9.280,98653904
168,2021-09-28,9.020,9.990,8.980,9.800,160344679
169,2021-09-29,9.450,9.800,9.180,9.310,92882842
170,2021-09-30,9.400,9.650,9.220,9.500,76828602
171,2021-10-08,9.680,9.680,9.040,9.170,60718080
172,2021-10-11,9.160,9.300,8.810,8.910,48175010
173,2021-10-12,8.810,9.110,8.800,9.060,46142896
174,2021-10-13,9.000,9.020,8.220,8.520,56730645
175,2021-10-14,8.360,8.540,8.250,8.410,32393889
176,2021-10-15,8.410,8.500,8.260,8.410,26885757
177,2021-10-18,8.410,8.640,8.410,8.590,27834892
178,2021-10-19,8.520,8.720,8.450,8.580,31644973
179,2021-10-20,8.530,8.850,8.490,8.850,43805868
180,2021-10-21,8.790,8.790,8.440,8.490,41234958
181,2021-10-22,8.460,8.590,8.300,8.340,27495913
182,2021-10-25,8.440,8.590,8.310,8.460,23961145
183,2021-10-26,8.400,8.530,8.300,8.350,26047117
184,2021-10-27,8.350,8.500,8.270,8.390,25551281
185,2021-10-28,8.330,8.550,8.160,8.210,26832557
186,2021-10-29,8.210,8.230,7.910,8.180,28303194
187,2021-11-01,8.230,8.550,8.100,8.350,31738767
188,2021-11-02,8.390,8.390,8.010,8.130,27290897
189,2021-11-03,8.130,8.190,8.060,8.120,12600671
190,2021-11-04,8.120,8.340,8.100,8.260,26178173
191,2021-11-05,8.200,8.230,8.100,8.100,18019846
192,2021-11-08,8.120,8.230,7.990,8.110,16460346
193,2021-11-09,8.220,8.450,8.150,8.210,25905539
194,2021-11-10,8.180,8.190,8.070,8.120,17505504
195,2021-11-11,8.120,8.190,8.080,8.140,16359442
196,2021-11-12,8.170,8.240,8.120,8.230,23028476
197,2021-11-15,8.250,8.350,8.200,8.260,21241157
198,2021-11-16,8.260,8.300,8.130,8.210,21262038
199,2021-11-17,8.200,8.240,8.140,8.180,17180177
200,2021-11-18,8.220,8.350,8.100,8.200,22285845
201,2021-11-19,8.210,8.220,8.130,8.180,15425441
