日期,收盘价,成交量,lev,pred,resid,resid_norm
2018-01-29,6309.8836,84031161.0,2752.43455321,5942.817774375042,367.06582562495805,0.05817315324564118
2018-01-26,6383.6312,69004549.0,2743.47728644,5928.927829001132,454.7033709988682,0.071229580273821
2018-01-25,6382.7165,81082937.0,2755.66920621,5947.833718929023,434.8827810709772,0.0681344347772578
2018-01-24,6394.2999,77347727.0,2759.77266293,5954.1969088561,440.1029911439,0.0688273928384091
2018-01-23,6354.9978,66753886.0,2758.408279,5952.081172131566,402.91662786843426,0.06340153695543911
2018-01-22,6347.6383,72761169.0,2758.93224305,5952.893678024186,394.74462197581397,0.06218763630180598
2018-01-19,6272.38,71806742.0,2748.96145035,5937.432067971282,334.94793202871824,0.05340045278326859
2018-01-18,6286.8007,65015293.0,2759.61423348,5953.951233868114,332.8494661318855,0.052944173358618715
2018-01-17,6267.4599,84195503.0,2761.44616937,5956.79199881282,310.6679011871802,0.04956839072670895
2018-01-16,6301.1327,79169734.0,2760.25127393,5954.939086220698,346.1936137793018,0.0549414891356441
2018-01-15,6253.3759,91474032.0,2754.68086396,5946.301106334609,307.07479366539064,0.04910544297607163
2018-01-12,6399.3737,77834558.0,2759.06834022,5953.104722565495,446.26897743450536,0.06973635207997078
2018-01-11,6425.9401,78770071.0,2761.42266247,5956.755546894474,469.184553105526,0.07301414980596006
2018-01-10,6405.9395,80966974.0,2755.80882261,5948.050220705636,457.8892792943643,0.07147886415323845
2018-01-09,6445.7462,75573217.0,2742.11842894,5926.820662057176,518.9255379428232,0.0805066662325028
2018-01-08,6446.1818,89476929.0,2733.72616304,5913.806857968551,532.3749420314489,0.08258764002458771
2018-01-05,6417.2537,81581018.0,2722.58366169,5896.528290850447,520.7254091495533,0.0811445882448988
2018-01-04,6417.535,80543690.0,2724.01290062,5898.744597584824,518.7904024151758,0.08083951274362754
2018-01-03,6388.2533,83936745.0,2719.30503712,5891.444160015873,496.8091399841269,0.07776916735348094
2018-01-02,6332.2269,73032235.0,2717.58879326,5888.782797562815,443.4441024371845,0.07002972405129458
2017-12-29,6250.8207,57165631.0,2708.25003168,5874.301271943792,376.5194280562082,0.06023519888455738
2017-12-28,6204.2702,65877542.0,2724.85678026,5900.053193432501,304.2170065674991,0.04903348770456501
2017-12-27,6173.1528,64197529.0,2720.36802597,5893.092526357828,280.0602736421715,0.0453674617680242
2017-12-26,6220.1473,57671656.0,2720.01824132,5892.550118745563,327.5971812544367,0.05266710986963873
2017-12-25,6185.5907,61264712.0,2712.28740202,5880.561982372186,305.0287176278134,0.04931278715674049
2017-12-22,6242.8847,55010644.0,2706.59624208,5871.7367566967005,371.14794330329914,0.05945135320267875
2017-12-21,6238.4987,59245859.0,2713.07574914,5881.784464487953,356.7142355120468,0.05717949985499665
2017-12-20,6199.3628,57814532.0,2713.22433384,5882.014873319062,317.34792668093814,0.05119041051782582
2017-12-19,6251.2416,52639308.0,2718.66808404,5890.456443147088,360.7851568529122,0.0577141598323303
2017-12-18,6199.9889,53772190.0,2720.52460622,5893.335333809584,306.6535661904163,0.04946034116132309
2017-12-15,6235.7608,61938112.0,2721.31255799,5894.55720286,341.20359714000006,0.054717236289756346
2017-12-14,6284.0807,55759240.0,2730.20798557,5908.351254810936,375.7294451890648,0.059790677925104424
2017-12-13,6277.441,50352001.0,2729.60637448,5907.418342418014,370.0226575819861,0.058944824424791264
2017-12-12,6233.2115,56614397.0,2725.53005552,5901.097234748131,332.11426525186926,0.053281404818666785
2017-12-11,6286.1656,61112906.0,2725.03372073,5900.327573276916,385.8380267230841,0.06137891542709026
2017-12-08,6203.1433,55579244.0,2714.24776079,5883.601891412271,319.54140858772917,0.051512820699745755
2017-12-07,6135.4702,53097972.0,2718.80212898,5890.664305315544,244.80589468445578,0.039900103285393805
2017-12-06,6172.8031,60267213.0,2719.3153339,5891.460127131222,281.3429728687779,0.04557783041367024
2017-12-05,6132.911999999999,69690232.0,2714.11879471,5883.4019049820035,249.5100950179958,0.04068378855232161
2017-12-04,6279.6206,60188169.0,2735.15083337,5916.016080219899,363.6045197801013,0.05790230699289402
2017-12-01,6316.4072,54746282.0,2735.42453799,5916.440511278837,399.9666887211624,0.06332186574690157
