sid,R_Squared,F_Value,F_P_value,Last Resid,Last Fitted Value,percent,deviation,params,open,open_std,high,high_std,low,low_std,close,close_std,volume,volume_std,volume_10%,volume_1%,volume_std_last,volume_std_rate,close_10%,close_1%,close_std_last,close_std_rate
601990,0.7120559617574519,793.7999519601354,2.7409255309727655e-174,-1.521894754977371,10.511894754977371,-0.1447783478099184,-5.652915511832418,"const       4.762313e+00
lev_buy     5.236298e-09
lev_sell   -1.001589e-08
dtype: float64",False,False,False,False,False,False,False,False,False,False,1509453.1079574665,1169979.6485045485,30821405.22588905,1,0.06833739825307533,0.06011268334752859,0.36211876504815244,1
601991,0.5539985857496168,678.2113647053998,3.448139043060335e-192,-0.4042658256396203,2.72426582563962,-0.1483944121145756,-38.98056054916344,"const       1.580637e+00
lev_buy     2.548813e-09
lev_sell   -1.081177e-08
dtype: float64",True,False,True,False,True,False,False,False,False,False,5763138.65651572,4920039.793262493,11910251.039475674,1,0.014424896555629676,0.011401754250999206,0.024083189157593193,1
601992,0.8718968576875497,3716.1905297863564,0.0,0.3369970998720162,2.5630029001279837,0.13148525889502047,15.981482833662662,"const       4.920953e-01
lev_buy     3.208444e-09
lev_sell    2.039039e-08
dtype: float64",False,False,False,False,False,False,False,False,False,False,5782869.958556879,5072590.10111167,8742369.57091165,1,0.02896424004376913,0.026265811148107228,0.06670832032063241,1
601995,0.07494460879585618,9.681453495932768,9.058259467483346e-05,-10.44771983943646,50.43771983943646,-0.20714100226369772,-4.207146850602992,"const       4.848608e+01
lev_buy    -4.865617e-10
lev_sell    4.686966e-06
dtype: float64",False,False,False,True,False,False,False,False,False,False,2313103.8214421165,1698431.7955609951,2315083.268344426,1,0.5645151524475307,0.4768909689587639,0.885313503794008,1
601996,0.8264271888259266,2599.6539552869563,0.0,0.16315101283605493,2.986848987163945,0.054623120732651805,11.074144862997857,"const       1.128398e+00
lev_buy     8.369420e-09
lev_sell    1.519356e-06
dtype: float64",False,False,False,False,False,False,False,False,False,False,1982505.3216623222,1660447.1427460453,3088154.711141135,1,0.019864642796796027,0.018301498326906935,0.05319774431307961,1
601997,0.5134377731848996,576.1586261925067,1.5050854718137853e-171,-0.5301042949439081,6.820104294943908,-0.07772671384760223,-2.248316670907056,"const       4.778653e+00
lev_buy     5.208974e-09
lev_sell   -7.649109e-07
dtype: float64",False,False,False,False,False,False,False,False,False,False,3176539.4804409454,2545159.3951142654,2508936.97848677,3,0.028622318129265762,0.025429477440037505,0.05941380311005347,1
601998,0.09456118094559396,60.155627391307256,1.4152965449089e-25,-0.45269178268959465,5.5426917826895945,-0.0816736344790808,-34.29660385335362,"const       4.959285e+00
lev_buy     1.273377e-09
lev_sell   -1.602554e-07
dtype: float64",False,False,False,False,False,False,False,False,False,False,4552402.0342061445,3472682.2779916096,17486994.20015936,1,0.03715206157688496,0.02743667192625944,0.05029910535983762,1
601999,0.465654877011091,465.3541196989344,4.5380350783837e-146,0.3051410692398928,6.034858930760107,0.05056308237539191,12.025447680932526,"const       2.713647e+00
lev_buy     2.723641e-08
lev_sell    1.179229e-05
dtype: float64",False,False,False,False,False,False,False,False,False,False,635695.8685732689,455362.81980730535,4084792.837701539,1,0.0911944256072594,0.08270230501811368,0.2791594526431085,1
603000,0.9209534768939179,6361.324681026855,0.0,-0.1579727216322251,10.297972721632226,-0.01534017674181472,-0.2046694126725587,"const       1.887901e+00
lev_buy     1.536339e-08
lev_sell    1.198743e-06
dtype: float64",False,False,False,False,False,False,True,False,False,False,518551.5475662749,423045.1493951974,927538.0377851364,1,0.06902189675469617,0.041925758556116105,0.17555625878903255,1
603001,0.5518406147968795,672.3165588566999,4.809973171027884e-191,-0.8833265016014815,8.593326501601481,-0.10279214940068457,-5.118002528910929,"const      -2.102926e-02
lev_buy     6.974816e-08
lev_sell    2.644781e-05
dtype: float64",False,False,False,True,False,False,False,False,False,False,230337.2314000579,197735.18395477437,367339.5510968018,1,0.07895865805748639,0.05318794393297717,0.09016651263079567,1
603005,0.47760011840246863,293.47180848962296,3.012904850801024e-91,-4.578018782709215,39.95801878270922,-0.11457071501979052,-0.24964242895707717,"const       2.819030e+01
lev_buy     5.027277e-08
lev_sell   -2.862110e-05
dtype: float64",False,False,False,False,False,False,False,False,True,False,1225032.4461972844,798356.3379699481,2747042.4936814685,1,0.42433138413291793,0.20818989573792893,0.7724182804670474,1
603012,0.10792814260457884,38.836483281988606,1.1977004740192044e-16,-1.7159825382359113,7.515982538235911,-0.22831113956242272,-5.631183375936487,"const       4.887537e+00
lev_buy     1.300830e-08
lev_sell   -1.553259e-06
dtype: float64",False,False,False,False,False,False,False,False,False,False,902955.9505488088,651724.5813817966,1262250.4749872352,1,0.03007628867154127,0.024180954778488525,0.07056911505751447,1
603018,0.03876729886634944,12.946191823708968,3.075816361112694e-06,0.46759543028932615,7.962404569710674,0.05872540464322538,3.1845692095915745,"const       9.936277e+00
lev_buy     4.889709e-09
lev_sell   -1.394527e-06
dtype: float64",True,False,False,False,True,False,False,False,False,False,1778819.31912422,1302174.8874096703,8289043.763772038,1,0.10661908528415986,0.08991507810739223,0.2890847626562143,1
603019,0.049681148479275516,16.781366208118044,7.871537614382879e-08,-5.591771684918214,34.271771684918214,-0.1631596911979591,-3.309732997509245,"const       3.804417e+01
lev_buy    -9.795051e-10
lev_sell   -8.916531e-07
dtype: float64",False,False,False,False,False,False,False,False,False,True,3624180.4683913495,3555679.504047441,3807278.750863826,1,0.4902390543074622,0.4141329726806267,0.5966322150202402,1
603025,0.9520770701914211,6277.9207235913045,0.0,-3.542106428175817,21.602106428175816,-0.16397041834567655,-0.8742461578678311,"const       6.568808e+00
lev_buy     5.287416e-08
lev_sell   -8.386899e-06
dtype: float64",False,False,False,False,False,False,False,False,False,False,200370.0752583035,142133.9792742925,1173369.3011830072,1,0.24302706706805052,0.19498732343968392,0.21805962487351138,2
603026,0.9369266882072448,4768.315764086307,0.0,-9.388350030009349,121.71835003000935,-0.07713175562842148,-0.035787007013582235,"const       9.438608e+00
lev_buy     6.560201e-08
lev_sell   -1.267724e-05
dtype: float64",False,False,False,False,False,False,False,False,False,False,409686.99380226573,339069.7328935223,1621811.7584816061,1,2.166450378979917,1.0228580050656961,5.1251117060998235,1
603027,0.6296863448276341,307.77484659795186,8.149304547705233e-79,-13.924450791228647,31.79445079122865,-0.4379522352079779,-3.410908905653569,"const       2.957061e+01
lev_buy     1.622583e-08
lev_sell   -3.321280e-05
dtype: float64",False,False,False,False,False,False,True,False,False,False,916328.1650379535,828272.2572680765,2004778.2158248073,1,0.24538664325061554,0.17404598098596402,0.6137018820241547,1
603042,0.14033754036531365,52.402370200519165,8.303779778839346e-22,-2.916257026714959,13.56625702671496,-0.21496401114708383,-12.812109592078516,"const       1.781135e+01
lev_buy    -2.382588e-08
lev_sell    2.231011e-03
dtype: float64",False,False,False,False,False,False,False,False,False,False,380880.8177196731,266787.1384260505,598788.6925738491,1,0.13809555810386048,0.1002113676646941,0.24079036525575878,1
603045,0.048062515347142676,15.95457169672818,1.7388551080436331e-07,2.013974783084505,14.266025216915496,0.14117280408957197,9.523459188787276,"const       1.600644e+01
lev_buy    -1.384723e-08
lev_sell    3.712367e-05
dtype: float64",False,False,False,False,False,False,False,False,False,False,507485.7218980658,380806.1202062157,570459.5169349889,1,0.25874323985573944,0.23758547423819876,0.25735189915746676,2
603077,0.9266890961841493,4057.6119566376988,0.0,-0.5388302982310771,4.198830298231077,-0.12832866773827,-15.832345267526957,"const       1.137275e+00
lev_buy     2.402413e-09
lev_sell   -2.320506e-08
dtype: float64",False,False,False,False,False,False,False,False,False,False,31742263.60133327,7647999.995755153,78875299.97997734,1,0.04035424155868998,0.026356009138144083,0.04494441010849639,1
603083,0.3381418550904509,163.99818649790657,2.92104727074892e-58,-12.552897675764859,24.08289767576486,-0.5212370141155028,-3.6377626255534556,"const       1.560085e+01
lev_buy     4.614745e-08
lev_sell   -6.004159e-05
dtype: float64",False,True,False,True,False,True,False,False,False,False,775574.0327704183,575746.1120128107,673910.5669191609,2,0.1506025586078357,0.13491536087389697,0.15865055940656314,1
603085,0.19583114922144462,78.16990031288097,4.134911648141926e-31,-0.5936983076002234,7.5436983076002235,-0.07870122629401502,-8.785614318888396,"const       7.237079e+00
lev_buy     1.283760e-09
lev_sell    3.250330e-05
dtype: float64",False,False,False,False,False,True,False,False,False,False,254948.1932425138,129302.7403824816,5449377.167662723,1,0.04537700685723732,0.037350657713974604,0.256670995634489,1
603108,0.583024591425471,448.82957123867266,1.1361931600676113e-122,-1.927903005857674,12.737903005857675,-0.15135167892007853,-21.51166505606152,"const       8.946157e+00
lev_buy     7.032530e-09
lev_sell    2.521151e-05
dtype: float64",False,False,False,False,False,False,False,False,False,False,1953337.5238390074,1598410.2523300482,2332742.76027534,1,0.17113594270172539,0.12617594725703057,0.16955824957813234,2
603113,0.40350987880735256,217.1480574366917,9.303470959898521e-73,-5.519490714071452,17.999490714071452,-0.3066470491721459,-10.848288805923847,"const       1.175845e+01
lev_buy     4.079092e-09
lev_sell    3.425025e-06
dtype: float64",False,False,True,False,True,False,True,False,True,False,1568813.3931536106,1095963.3142596912,8208827.013951402,1,0.07579479965078191,0.06645527408049587,0.3683476618630866,1
603118,0.4823276154020454,299.08329891752214,1.6279998634904252e-92,0.7660709845378912,6.973929015462109,0.10984783223910254,4.305963342797189,"const       5.872799e+00
lev_buy     1.493853e-08
lev_sell   -4.918882e-06
dtype: float64",False,False,False,False,False,True,False,False,False,False,697516.5230894699,640648.750834028,4960717.394376976,1,0.04466454607539149,0.04140213169633018,0.2620114501314702,1
603126,0.05683889351657745,11.088621376727733,0.0010494261965634383,-1.48296770264262,8.30296770264262,-0.1786069458237962,-27.109344642498247,"const       7.745253e+00
lev_buy     5.278468e-09
lev_sell    0.000000e+00
dtype: float64",False,False,False,False,False,False,False,False,False,False,1256027.2448108941,989962.2038449302,1347393.8964543967,1,0.10357868315798273,0.09992488741528703,0.100149887668413,2
603127,0.6017008261105266,484.92685358939826,4.6474979950919566e-129,-1.8100796707939253,101.80007967079392,-0.017780729412466566,-0.03488207801502687,"const       3.657806e+01
lev_buy     2.557033e-07
lev_sell   -7.154165e-05
dtype: float64",False,False,False,False,True,False,False,False,False,False,420774.9801849558,279110.5511051957,1024697.3348077959,1,1.4835815936517889,0.7470473148133139,1.7547506945430855,1
603128,0.07489951339431311,27.20378690192606,4.3598701733752656e-12,1.6981921818576033,9.551807818142397,0.17778751563993067,3.840880312039412,"const       6.360686e+00
lev_buy     1.245178e-08
lev_sell    1.032121e-05
dtype: float64",False,False,True,False,True,False,True,False,False,False,810809.2284800496,590699.0801598564,6179436.553886584,1,0.1710001231852793,0.12172922594690289,0.36065218701680024,1
603129,0.5031664138857922,92.66629341754438,1.596987860674072e-28,17.2107000303223,83.3392999696777,0.20651361406424423,0.34158566424443987,"const       1.363381e+02
lev_buy    -8.048871e-07
lev_sell    6.860514e-05
dtype: float64",False,False,False,False,False,False,False,False,False,False,186508.41126210504,132174.48309993156,625018.0411317741,1,2.1664342381281756,1.799901863779433,3.5562367750194377,1
603156,0.21165146193037476,86.1803073118022,7.0236615629802335e-34,-4.307769532551461,28.607769532551462,-0.15058040535630884,-14.109193097192037,"const       2.911017e+01
lev_buy    -1.764890e-08
lev_sell    4.374804e-06
dtype: float64",False,False,False,False,True,False,False,False,True,False,160645.94140565308,122807.98120312624,822483.2227891944,1,0.18440677920027643,0.17317634698593443,0.5001299831043844,1
603160,0.47156491899650044,242.72737102062052,4.5053280018679364e-76,-66.117041315856,133.247041315856,-0.49619894492913047,-0.3431629210666491,"const       2.794769e+02
lev_buy    -2.250041e-08
lev_sell   -5.540619e-04
dtype: float64",False,False,False,False,False,True,False,False,False,False,322658.85257093573,300050.05216468446,750088.8877191156,1,0.7372365009058117,0.3404864250764346,0.7190062586653582,2
603167,0.5921398963743814,466.03456686867094,9.421136640162713e-126,-1.003313810016139,8.803313810016139,-0.1139700153451987,-8.842241242208365,"const       8.615877e+00
lev_buy    -1.654394e-09
lev_sell    1.073591e-05
dtype: float64",False,True,False,True,False,True,False,False,False,False,640824.0988989472,425171.7770638588,3592849.3189878836,1,0.04846977358686264,0.035400421671518564,0.08497058314499024,1
603169,0.45497297488188493,455.7851864899251,1.2140829124977347e-144,-1.1846945431279279,9.144694543127928,-0.12954993056801492,-15.086584110880349,"const       2.452283e+00
lev_buy     2.265717e-08
lev_sell    4.673842e-06
dtype: float64",False,False,False,False,False,False,False,False,True,False,5292041.238334311,3898517.2459360287,3984014.862355412,2,0.20824264381454302,0.16236425844455432,0.20327321515634883,2
603185,0.20736775616552416,31.263485752107513,8.691052191710179e-13,9.940061544362209,129.59993845563778,0.07669804216585106,0.041748178021228786,"const       1.693070e+02
lev_buy     4.927299e-08
lev_sell   -4.138576e-04
dtype: float64",False,False,False,True,False,False,False,False,False,False,934377.4324435908,833588.7820051882,1394938.3087044738,1,3.1185317944845297,2.076900236244301,4.187615073045575,1
603195,0.4519166801496495,175.62704316226558,2.3676779642890585e-56,-10.664316353439318,145.41431635343932,-0.07333745824255004,-0.33825823246319303,"const       1.426890e+02
lev_buy     1.122357e-07
lev_sell   -7.441121e-04
dtype: float64",False,False,False,True,False,False,False,False,False,False,64055.2895730099,41808.16771179779,139489.1627464301,1,1.1330521923581438,0.8325902616142423,1.780148870179159,1
603198,0.23755804567054783,100.01565657193028,1.5430438585759042e-38,22.445867362393145,35.49413263760685,0.6323824726628544,1.9192176251486892,"const       1.726141e+01
lev_buy     7.316233e-08
lev_sell    3.550008e-07
dtype: float64",False,False,False,False,False,False,False,True,False,False,946766.4673287822,839358.0127237424,2065475.2692183715,1,0.5795256156598121,0.33958855198108084,2.500455958420342,1
603218,0.2783361567540218,46.089562395837774,1.1776768783483646e-17,-7.4366710355480485,26.93667103554805,-0.27607981052053354,-4.341217057493001,"const       3.020841e+01
lev_buy     8.333600e-09
lev_sell   -6.314046e-06
dtype: float64",False,False,False,False,False,False,False,False,False,False,2143214.9431863576,1155159.0512301517,932633.765610217,3,0.3389683971425771,0.21017012514575037,0.20530465167652592,3
603220,0.097126271809718,34.531443631006596,5.705217053128777e-15,-3.11710448632339,15.66710448632339,-0.19895855606531943,-3.937885865856309,"const       2.279718e+01
lev_buy    -3.114967e-08
lev_sell   -1.566187e-05
dtype: float64",False,False,False,False,False,False,False,True,False,False,687327.6745542747,588243.5656212233,884530.7242152756,1,0.17083604953621997,0.12649744569651183,0.3198124450361639,1
603222,0.5669128845580325,119.77389095060884,5.580030916105905e-34,1.6434319661003833,17.156568033899617,0.09579025145665092,7.639717424232951,"const       1.336695e+01
lev_buy     1.742098e-08
lev_sell    2.099839e-05
dtype: float64",False,False,False,False,False,False,False,False,True,False,2781624.4610491665,1728511.4373517907,8803946.281151056,1,0.27769380916715114,0.24508730060699965,0.7454327602137981,1
603225,0.6251945431093955,152.6266484193862,1.0074890440067083e-39,-2.1812960927976945,12.481296092797695,-0.17476519077665392,-2.8838028260980306,"const       2.163707e+01
lev_buy    -6.509742e-08
lev_sell    3.000990e-07
dtype: float64",False,False,False,True,False,False,False,False,False,False,1345972.603293107,995023.3581811689,6844609.0084323445,1,0.09310664017125128,0.04774713855774617,0.41791147387932165,1
603228,0.6188324735703727,521.1493903396945,3.4530424421174396e-135,-14.358915695596629,36.38891569559663,-0.394595865832138,-5.109560925563954,"const       4.310246e+01
lev_buy     8.368439e-09
lev_sell   -2.362995e-05
dtype: float64",False,False,False,False,False,False,False,False,True,False,639248.2540402923,329654.31586183555,1497817.9835722032,1,0.33705119786628257,0.30759559858500174,0.34044089061096827,1
603233,0.008440393211683772,2.7324289961005905,0.06581779557398432,-35.48788159286654,62.97788159286654,-0.563497543824755,-2.5501447422872903,"const       5.986579e+01
lev_buy     2.427891e-08
lev_sell   -8.632377e-06
dtype: float64",False,False,False,False,False,False,False,False,False,False,484735.2622495777,423258.73430716334,746692.5275625865,1,0.39009002045328145,0.20187573098867406,0.445903577020592,1
603259,0.6395445706429882,569.5400608685705,5.615060507954127e-143,-16.25442265790406,123.35442265790405,-0.1317700841824056,-0.6584738106992883,"const       8.573852e+01
lev_buy     7.617044e-09
lev_sell    2.940782e-05
dtype: float64",False,False,False,False,False,False,True,False,False,False,2737484.2331013335,1555491.6234343478,6317623.43802856,1,1.8030327010974854,1.397637670064878,2.6861180167669496,1
603260,0.8983455972212238,2836.757964488474,1.93866e-319,-39.61955749189144,133.17955749189144,-0.29748978175050367,-0.3580323898657961,"const       8.219929e+00
lev_buy     1.095560e-07
lev_sell    8.038015e-05
dtype: float64",False,False,False,False,False,False,False,False,True,False,811218.6324789536,532090.0110999966,2373699.6872409326,1,2.1472043645508156,1.8338056536750418,2.568624145335903,1
603267,0.1740650133933359,19.283538031153945,2.515049194950623e-08,-30.634806530501265,145.73480653050126,-0.21020926475851615,-1.8220072189408671,"const       1.296934e+02
lev_buy     1.467040e-07
lev_sell    1.736264e-05
dtype: float64",False,False,False,False,False,False,False,False,False,False,179040.75957441152,114241.22969096081,545739.6841037859,1,2.083512152962741,1.0321079890712717,2.8412092495975445,1
603288,0.486853130233722,304.5519012445799,9.718082253015958e-94,-15.73323594073787,106.22323594073787,-0.14811482442048246,-0.4065404257534817,"const       1.057003e+02
lev_buy     1.249156e-07
lev_sell   -2.052116e-05
dtype: float64",False,True,False,True,True,True,True,False,True,False,866697.8562952147,599651.3400496008,1955202.4828381066,1,0.9933807996571768,0.8193501344705928,2.415216346417054,1
603299,0.6550205378004379,609.4901745551143,4.281838687497804e-149,1.896355834117042,8.293644165882958,0.22865169956506715,39.535595669702325,"const       5.548872e+00
lev_buy     1.493942e-08
lev_sell   -2.472546e-06
dtype: float64",False,False,False,False,False,False,False,False,False,False,681467.544912593,440015.72227442113,40472956.06253877,1,0.053793139330427404,0.04505552130426676,0.8205607838545511,1
603318,0.0659639450325411,22.669816912135573,3.0671055257127474e-10,-2.0542575530966527,9.134257553096653,-0.22489595253422956,-1.6607612273528283,"const       1.421350e+01
lev_buy    -3.919637e-08
lev_sell   -4.347071e-05
dtype: float64",False,False,False,False,False,False,False,False,False,False,798123.1127543845,526480.0238553128,695775.2824445472,2,0.07591481569442468,0.06033216262810753,0.06308724118233196,2
603323,0.1464722774991345,93.69802691376121,2.785010341540947e-38,-0.45136012386070945,6.06136012386071,-0.07446515544983344,-7.636893807044282,"const       7.241780e+00
lev_buy    -3.777268e-09
lev_sell    2.154000e-07
dtype: float64",False,False,False,False,False,False,False,False,False,False,3259716.965283073,2049292.894050823,15441020.807813331,1,0.04989627743363991,0.03507073688312304,0.11606032913964506,1
603328,0.27250768030771455,120.2417716461619,4.435274333915717e-45,-2.326994212136965,8.496994212136965,-0.2738608682130353,-16.421896335249354,"const       5.080965e+00
lev_buy     1.702221e-08
lev_sell   -1.080343e-06
dtype: float64",False,True,False,False,False,False,False,False,False,False,609260.6042492085,436551.47673493566,406418.97541674855,3,0.04743311075141127,0.024111032683113362,0.07190271204899419,1
603329,0.002783421691236243,0.8931810406784354,0.40986114965544107,1.7156875356944958,13.414312464305505,0.12789977423440924,15.844222129691113,"const       1.358541e+01
lev_buy    -1.188582e-09
lev_sell    5.391233e-06
dtype: float64",False,False,False,False,False,False,False,False,False,False,366331.2196315951,306782.31867109734,2182311.94340871,1,0.08444870167960028,0.07169032414434236,0.5934812549693417,1
603338,0.4903111940381907,308.7960564275221,1.1090104958244423e-94,-20.12276868033625,60.12276868033625,-0.3346946443422457,-1.4386072703637118,"const       6.995570e+01
lev_buy    -8.484317e-08
lev_sell    8.839031e-05
dtype: float64",False,False,False,True,False,False,False,False,False,False,679964.9787182899,434219.3711403806,1460748.877731282,1,0.5545734153012509,0.4741367799528984,0.47773423574217627,2
