证券代码,证券简称
601233.SS,桐昆股份
601236.SS,红塔证券
601238.SS,广汽集团
601288.SS,农业银行
601298.SS,青岛港
601311.SS,骆驼股份
601318.SS,中国平安
601319.SS,中国人保
601326.SS,秦港股份
601328.SS,交通银行
601333.SS,广深铁路
601336.SS,新华保险
601339.SS,百隆东方
601360.SS,三六零
601369.SS,陕鼓动力
601375.SS,中原证券
601377.SS,兴业证券
601388.SS,怡球资源
601390.SS,中国中铁
601398.SS,工商银行
601456.SS,国联证券
601515.SS,东风股份
601519.SS,大智慧
601555.SS,东吴证券
601566.SS,九牧王
601567.SS,三星医疗
601577.SS,长沙银行
601588.SS,北辰实业
601598.SS,中国外运
601600.SS,中国铝业
601601.SS,中国太保
601606.SS,长城军工
601607.SS,上海医药
601608.SS,中信重工
601611.SS,中国核建
601615.SS,明阳智能
601618.SS,中国中冶
601628.SS,中国人寿
601633.SS,长城汽车
601636.SS,旗滨集团
601658.SS,邮储银行
601666.SS,平煤股份
601668.SS,中国建筑
601669.SS,中国电建
601678.SS,滨化股份
601688.SS,华泰证券
601689.SS,拓普集团
601696.SS,中银证券
601698.SS,中国卫通
601699.SS,潞安环能
601700.SS,风范股份
601717.SS,郑煤机
601718.SS,际华集团
601727.SS,上海电气
601766.SS,中国中车
601777.SS,力帆科技
601788.SS,光大证券
601789.SS,宁波建工
601799.SS,星宇股份
601800.SS,中国交建
601801.SS,皖新传媒
601808.SS,中海油服
601816.SS,京沪高铁
601818.SS,光大银行
601828.SS,美凯龙
601838.SS,成都银行
601857.SS,中国石油
601858.SS,中国科传
601860.SS,紫金银行
601865.SS,福莱特
601866.SS,中远海发
601869.SS,长飞光纤
601872.SS,招商轮船
601877.SS,正泰电器
601878.SS,浙商证券
601880.SS,辽港股份
601881.SS,中国银河
601886.SS,江河集团
601888.SS,中国中免
601890.SS,亚星锚链
601898.SS,中煤能源
601899.SS,紫金矿业
601900.SS,南方传媒
601901.SS,方正证券
601908.SS,京运通
601916.SS,浙商银行
601918.SS,新集能源
601919.SS,中远海控
601928.SS,凤凰传媒
601929.SS,吉视传媒
601933.SS,永辉超市
601939.SS,建设银行
601949.SS,中国出版
601952.SS,苏垦农发
601958.SS,金钼股份
601965.SS,中国汽研
601966.SS,玲珑轮胎
601969.SS,海南矿业
601975.SS,招商南油
601985.SS,中国核电
601988.SS,中国银行
601989.SS,中国重工
601990.SS,南京证券
601991.SS,大唐发电
601992.SS,金隅集团
601995.SS,中金公司
601996.SS,丰林集团
601997.SS,贵阳银行
601998.SS,中信银行
601999.SS,出版传媒
603000.SS,人民网
603001.SS,奥康国际
603005.SS,晶方科技
603012.SS,创力集团
603018.SS,华设集团
603019.SS,中科曙光
603025.SS,大豪科技
603026.SS,石大胜华
603027.SS,千禾味业
603042.SS,华脉科技
603045.SS,福达合金
603077.SS,和邦生物
603083.SS,剑桥科技
603085.SS,天成自控
603108.SS,润达医疗
603113.SS,金能科技
603118.SS,共进股份
603126.SS,中材节能
603127.SS,昭衍新药
603128.SS,华贸物流
603129.SS,春风动力
603156.SS,养元饮品
603160.SS,汇顶科技
603167.SS,渤海轮渡
603169.SS,兰石重装
603185.SS,上机数控
603195.SS,公牛集团
603198.SS,迎驾贡酒
603218.SS,日月股份
603220.SS,中贝通信
603222.SS,济民医疗
603225.SS,新凤鸣
603228.SS,景旺电子
603233.SS,大参林
603259.SS,药明康德
603260.SS,合盛硅业
603267.SS,鸿远电子
603288.SS,海天味业
603299.SS,苏盐井神
603318.SS,水发燃气
603323.SS,苏农银行
603328.SS,依顿电子
603329.SS,上海雅仕
603338.SS,浙江鼎力
603345.SS,安井食品
603355.SS,莱克电气
603363.SS,傲农生物
603368.SS,柳药股份
603369.SS,今世缘
603377.SS,东方时尚
603379.SS,三美股份
603387.SS,基蛋生物
603393.SS,新天然气
603399.SS,吉翔股份
603444.SS,吉比特
603456.SS,九洲药业
603501.SS,韦尔股份
603505.SS,金石资源
603508.SS,思维列控
603515.SS,欧普照明
603517.SS,绝味食品
603559.SS,中通国脉
603567.SS,珍宝岛
603568.SS,伟明环保
603588.SS,高能环境
603589.SS,口子窖
603599.SS,广信股份
603601.SS,再升科技
603602.SS,纵横通信
603605.SS,珀莱雅
603606.SS,东方电缆
603609.SS,禾丰股份
603613.SS,国联股份
603618.SS,杭电股份
603636.SS,南威软件
603638.SS,艾迪精密
603658.SS,安图生物
603659.SS,璞泰来
603660.SS,苏州科达
603678.SS,火炬电子
603681.SS,永冠新材
603688.SS,石英股份
603696.SS,安记食品
603698.SS,航天工程
603699.SS,纽威股份
603707.SS,健友股份
603708.SS,家家悦
603712.SS,七一二
603718.SS,海利生物
603719.SS,良品铺子
603737.SS,三棵树
603766.SS,隆鑫通用
603776.SS,永安行
603789.SS,星光农机
603799.SS,华友钴业
603803.SS,瑞斯康达
603806.SS,福斯特
603816.SS,顾家家居
603833.SS,欧派家居
603858.SS,步长制药
603866.SS,桃李面包
603868.SS,飞科电器
603877.SS,太平鸟
603881.SS,数据港
603882.SS,金域医学
603883.SS,老百姓
603885.SS,吉祥航空
603888.SS,新华网
603890.SS,春秋电子
603899.SS,晨光文具
603919.SS,金徽酒
603936.SS,博敏电子
603939.SS,益丰药房
603959.SS,百利科技
603986.SS,兆易创新
603989.SS,艾华集团
603993.SS,洛阳钼业
000001.SZ,平安银行
000002.SZ,万  科Ａ
000006.SZ,深振业Ａ
000008.SZ,神州高铁
000009.SZ,中国宝安
000012.SZ,南  玻Ａ
000016.SZ,深康佳Ａ
000021.SZ,深科技
000025.SZ,特  力Ａ
000027.SZ,深圳能源
000028.SZ,国药一致
000030.SZ,富奥股份
000031.SZ,大悦城
000034.SZ,神州数码
000035.SZ,中国天楹
000036.SZ,华联控股
000039.SZ,中集集团
000040.SZ,东旭蓝天
000046.SZ,泛海控股
000049.SZ,德赛电池
000050.SZ,深天马Ａ
000059.SZ,华锦股份
000060.SZ,中金岭南
000061.SZ,农 产 品
000062.SZ,深圳华强
000063.SZ,中兴通讯
000066.SZ,中国长城
000069.SZ,华侨城Ａ
000070.SZ,特发信息
000078.SZ,海王生物
000088.SZ,盐 田 港
000089.SZ,深圳机场
000090.SZ,天健集团
000099.SZ,中信海直
000100.SZ,TCL科技
000150.SZ,宜华健康
000151.SZ,中成股份
000155.SZ,川能动力
000156.SZ,华数传媒
000157.SZ,中联重科
000158.SZ,常山北明
000159.SZ,国际实业
000166.SZ,申万宏源
000301.SZ,东方盛虹
000333.SZ,美的集团
000338.SZ,潍柴动力
000400.SZ,许继电气
000401.SZ,冀东水泥
000402.SZ,金 融 街
000403.SZ,派林生物
000404.SZ,长虹华意
000413.SZ,东旭光电
000415.SZ,渤海租赁
000417.SZ,合肥百货
000423.SZ,东阿阿胶
000425.SZ,徐工机械
000426.SZ,兴业矿业
000488.SZ,晨鸣纸业
000501.SZ,鄂武商Ａ
000503.SZ,国新健康
000505.SZ,京粮控股
000506.SZ,中润资源
000513.SZ,丽珠集团
000516.SZ,国际医学
000517.SZ,荣安地产
000519.SZ,中兵红箭
000528.SZ,柳    工
000531.SZ,穗恒运Ａ
000537.SZ,广宇发展
000538.SZ,云南白药
000539.SZ,粤电力Ａ
000540.SZ,中天金融
000541.SZ,佛山照明
000543.SZ,皖能电力
000547.SZ,航天发展
000550.SZ,江铃汽车
000551.SZ,创元科技
000552.SZ,靖远煤电
000554.SZ,泰山石油
000555.SZ,神州信息
000559.SZ,万向钱潮
000560.SZ,我爱我家
000563.SZ,陕国投Ａ
000565.SZ,渝三峡Ａ
000566.SZ,海南海药
000568.SZ,泸州老窖
000581.SZ,威孚高科
000589.SZ,贵州轮胎
000591.SZ,太阳能
000592.SZ,平潭发展
000596.SZ,古井贡酒
000598.SZ,兴蓉环境
000600.SZ,建投能源
000603.SZ,盛达资源
000607.SZ,华媒控股
000612.SZ,焦作万方
000617.SZ,中油资本
000620.SZ,新华联
000623.SZ,吉林敖东
000625.SZ,长安汽车
000627.SZ,天茂集团
000629.SZ,攀钢钒钛
000630.SZ,铜陵有色
000631.SZ,顺发恒业
000636.SZ,风华高科
000639.SZ,西王食品
000650.SZ,仁和药业
000651.SZ,格力电器
000652.SZ,泰达股份
000655.SZ,金岭矿业
000656.SZ,金科股份
000661.SZ,长春高新
000665.SZ,湖北广电
000667.SZ,美好置业
000671.SZ,阳 光 城
000672.SZ,上峰水泥
000680.SZ,山推股份
000681.SZ,视觉中国
000683.SZ,远兴能源
000685.SZ,中山公用
000686.SZ,东北证券
000690.SZ,宝新能源
000700.SZ,模塑科技
000703.SZ,恒逸石化
000708.SZ,中信特钢
000709.SZ,河钢股份
000712.SZ,锦龙股份
000717.SZ,韶钢松山
000718.SZ,苏宁环球
000719.SZ,中原传媒
