日期,主力净流入净额,主力净流入净占比,超大单净流入净额,超大单净流入净占比,大单净流入净额,大单净流入净占比,中单净流入净额,中单净流入净占比,小单净流入净额,小单净流入净占比
2021-03-03,24.93亿,1.47%,27.12亿,1.60%,-2.19亿,-0.13%,-10.92亿,-0.64%,-14.01亿,-0.83%
2021-03-04,-148.23亿,-7.69%,-78.02亿,-4.05%,-70.21亿,-3.64%,16.38亿,0.85%,131.85亿,6.84%
2021-03-05,-43.91亿,-2.68%,-27.73亿,-1.69%,-16.18亿,-0.99%,4.38亿,0.27%,39.53亿,2.42%
2021-03-08,-97.00亿,-5.48%,-46.40亿,-2.62%,-50.60亿,-2.86%,8266.06万,0.05%,96.18亿,5.43%
2021-03-09,-86.73亿,-4.77%,-24.67亿,-1.36%,-62.06亿,-3.41%,-3.50亿,-0.19%,90.23亿,4.96%
2021-03-10,-67.54亿,-4.98%,-36.84亿,-2.72%,-30.70亿,-2.26%,13.97亿,1.03%,53.57亿,3.95%
2021-03-11,44.64亿,2.99%,33.29亿,2.23%,11.34亿,0.76%,-6.13亿,-0.41%,-38.51亿,-2.58%
2021-03-15,-67.08亿,-4.46%,-28.38亿,-1.89%,-38.70亿,-2.57%,3.58亿,0.24%,63.49亿,4.22%
2021-03-12,-39.20亿,-2.44%,-30.92亿,-1.93%,-8.28亿,-0.52%,15.67亿,0.98%,23.53亿,1.47%
2021-03-16,-43.75亿,-3.15%,-26.19亿,-1.89%,-17.56亿,-1.26%,6.96亿,0.50%,36.79亿,2.65%
2021-03-17,-16.27亿,-1.30%,-8.52亿,-0.68%,-7.76亿,-0.62%,-1.49亿,-0.12%,17.76亿,1.42%
2021-03-18,-5.18亿,-0.38%,-4.72亿,-0.34%,-4641.36万,-0.03%,-1.55亿,-0.11%,6.73亿,0.49%
2021-03-19,-69.62亿,-4.84%,-35.67亿,-2.48%,-33.95亿,-2.36%,2.86亿,0.20%,66.76亿,4.64%
2021-03-22,23.52亿,1.70%,15.89亿,1.15%,7.63亿,0.55%,-7.65亿,-0.55%,-15.87亿,-1.15%
2021-03-23,-125.20亿,-8.69%,-70.87亿,-4.92%,-54.33亿,-3.77%,26.41亿,1.83%,98.79亿,6.86%
2021-03-24,-66.31亿,-4.82%,-25.21亿,-1.83%,-41.10亿,-2.99%,-7.93亿,-0.58%,74.24亿,5.39%
2021-03-26,46.90亿,3.60%,37.79亿,2.90%,9.11亿,0.70%,-24.35亿,-1.87%,-22.55亿,-1.73%
2021-03-25,-60.40亿,-4.95%,-31.67亿,-2.59%,-28.74亿,-2.35%,4.33亿,0.35%,56.07亿,4.59%
2021-03-29,-36.65亿,-2.66%,-21.49亿,-1.56%,-15.16亿,-1.10%,19.09亿,1.39%,17.57亿,1.28%
2021-03-30,-28.23亿,-2.03%,-4.70亿,-0.34%,-23.52亿,-1.69%,3.05亿,0.22%,25.17亿,1.81%
2021-03-31,-56.79亿,-4.56%,-29.72亿,-2.39%,-27.07亿,-2.17%,11.39亿,0.91%,45.40亿,3.65%
2021-04-02,-10.69亿,-0.85%,-6.52亿,-0.52%,-4.18亿,-0.33%,2.60亿,0.21%,8.09亿,0.65%
2021-04-01,-10.03亿,-0.80%,6871.81万,0.05%,-10.72亿,-0.86%,-2.89亿,-0.23%,12.92亿,1.03%
