134,2019-08-13,2.05亿,33.27万,97.71万,-64.44万,4.51,0.00,0.00,0.00,2.05亿
135,2019-08-12,2.06亿,106.33万,76.57万,29.76万,4.51,0.00,0.00,0.00,2.06亿
136,2019-08-09,2.05亿,81.95万,170.32万,-88.37万,4.51,0.00,20.50,-20.50,2.06亿
137,2019-08-08,2.06亿,138.76万,120.61万,18.15万,25.01,18.50,0.00,18.50,2.08亿
138,2019-08-07,2.06亿,90.56万,477.81万,-387.24万,6.51,0.00,3.40,-3.40,2.06亿
139,2019-08-06,2.10亿,184.81万,825.05万,-640.24万,9.91,3.40,2.00,1.40,2.11亿
140,2019-08-05,2.16亿,68.89万,187.04万,-118.15万,8.51,0.00,1.53,-1.53,2.17亿
141,2019-08-02,2.18亿,133.25万,449.25万,-316.00万,10.04,0.00,3.00,-3.00,2.18亿
142,2019-08-01,2.21亿,131.27万,199.75万,-68.48万,13.04,0.00,0.00,0.00,2.21亿
143,2019-07-31,2.21亿,175.61万,449.52万,-273.91万,13.04,0.00,0.00,0.00,2.22亿
144,2019-07-30,2.24亿,117.34万,208.67万,-91.34万,13.04,0.00,3.00,-3.00,2.25亿
145,2019-07-29,2.25亿,247.60万,166.12万,81.48万,16.04,0.00,0.00,0.00,2.26亿
146,2019-07-26,2.24亿,251.97万,382.05万,-130.08万,16.04,0.00,5.63,-5.63,2.25亿
147,2019-07-25,2.26亿,549.39万,338.52万,210.87万,21.67,8.63,2.00,6.63,2.27亿
148,2019-07-24,2.23亿,609.17万,509.24万,99.93万,15.04,2.03,6.50,-4.47,2.24亿
149,2019-07-23,2.22亿,598.45万,364.31万,234.15万,19.51,0.00,10.46,-10.46,2.24亿
150,2019-07-22,2.20亿,643.71万,663.04万,-19.33万,29.97,2.00,13.58,-11.58,2.22亿
151,2019-07-19,2.20亿,1656.21万,502.42万,1153.79万,41.55,0.00,4.64,-4.64,2.23亿
152,2019-07-18,2.09亿,1062.71万,1164.97万,-102.26万,46.19,37.01,0.50,36.51,2.11亿
153,2019-07-17,2.10亿,148.11万,174.99万,-26.88万,9.68,0.00,0.00,0.00,2.10亿
154,2019-07-16,2.10亿,116.31万,222.19万,-105.88万,9.68,0.00,3.00,-3.00,2.11亿
155,2019-07-15,2.11亿,179.98万,171.27万,8.72万,12.68,0.00,5.00,-5.00,2.12亿
156,2019-07-12,2.11亿,85.01万,219.68万,-134.66万,17.68,0.00,2.00,-2.00,2.12亿
157,2019-07-11,2.12亿,302.60万,288.33万,14.28万,19.68,0.00,0.00,0.00,2.13亿
158,2019-07-10,2.12亿,142.69万,173.15万,-30.45万,19.68,0.00,9.74,-9.74,2.13亿
159,2019-07-09,2.13亿,66.33万,120.06万,-53.72万,29.42,20.91,0.00,20.91,2.14亿
160,2019-07-08,2.13亿,214.58万,295.91万,-81.33万,8.51,0.00,0.00,0.00,2.14亿
161,2019-07-05,2.14亿,123.61万,308.98万,-185.37万,8.51,0.00,1.53,-1.53,2.14亿
162,2019-07-04,2.16亿,374.23万,228.62万,145.61万,10.04,1.53,0.00,1.53,2.16亿
163,2019-07-03,2.14亿,344.74万,220.36万,124.38万,8.51,0.00,0.00,0.00,2.15亿
164,2019-07-02,2.13亿,325.57万,616.12万,-290.55万,8.51,0.00,5.56,-5.56,2.14亿
165,2019-07-01,2.16亿,650.64万,783.08万,-132.44万,14.07,6.56,0.00,6.56,2.17亿
166,2019-06-28,2.17亿,229.03万,379.05万,-150.02万,7.51,0.00,6.00,-6.00,2.18亿
167,2019-06-27,2.19亿,453.74万,506.76万,-53.01万,13.51,2.00,16.00,-14.00,2.20亿
168,2019-06-26,2.19亿,450.42万,422.05万,28.37万,27.51,14.00,10.50,3.50,2.21亿
169,2019-06-25,2.19亿,503.08万,660.48万,-157.40万,24.01,12.50,4.00,8.50,2.20亿
170,2019-06-24,2.21亿,501.53万,396.56万,104.97万,15.51,0.00,6.50,-6.50,2.21亿
171,2019-06-21,2.20亿,1290.83万,691.59万,599.24万,22.01,0.00,32.64,-32.64,2.21亿
